Time,Left,Right
2024/11/20 20:54:17,120.0,2.0
2024/11/20 20:54:17,104.0,1.0
2024/11/20 20:54:17,208.0,1.0
2024/11/20 20:54:17,100.0,1.0
2024/11/20 20:54:17,23.0,1.0
2024/11/20 20:54:17,174.0,2.0
2024/11/20 20:54:17,103.0,1.0
2024/11/20 20:54:17,131.0,1.0
2024/11/20 20:54:17,70.0,1.0
2024/11/20 20:54:17,164.0,1.0
2024/11/20 20:54:17,132.0,1.0
2024/11/20 20:54:17,100.0,1.0
2024/11/20 20:54:17,225.0,1.0
2024/11/20 20:54:18,144.0,1.0
2024/11/20 20:54:18,115.0,1.0
2024/11/20 20:54:18,63.0,1.0
2024/11/20 20:54:18,130.0,1.0
2024/11/20 20:54:18,226.0,1.0
2024/11/20 20:54:18,133.0,1.0
2024/11/20 20:54:18,79.0,1.0
2024/11/20 20:54:18,141.0,1.0
2024/11/20 20:54:18,172.0,6.0
2024/11/20 20:54:18,140.0,1.0
2024/11/20 20:54:18,281.0,2.0
2024/11/20 20:54:18,108.0,1.0
2024/11/20 20:54:18,91.0,1.0
2024/11/20 20:54:18,4.0,1.0
2024/11/20 20:54:18,243.0,1.0
2024/11/20 20:54:18,125.0,1.0
2024/11/20 20:54:18,136.0,1.0
2024/11/20 20:54:18,44.0,1.0
2024/11/20 20:54:18,89.0,1.0
2024/11/20 20:54:18,95.0,1.0
2024/11/20 20:54:18,140.0,1.0
2024/11/20 20:54:18,105.0,1.0
2024/11/20 20:54:18,160.0,1.0
2024/11/20 20:54:18,172.0,1.0
2024/11/20 20:54:18,1.0,1.0
2024/11/20 20:54:18,1.0,1.0
2024/11/20 20:54:19,134.0,164.0
2024/11/20 20:54:19,175.0,1.0
2024/11/20 20:54:19,117.0,492.0
2024/11/20 20:54:19,1.0,97.0
2024/11/20 20:54:19,1.0,1.0
2024/11/20 20:54:19,1.0,4.0
2024/11/20 20:54:19,83.0,1.0
2024/11/20 20:54:19,111.0,1.0
2024/11/20 20:54:19,1.0,1.0
2024/11/20 20:54:19,1.0,180.0
2024/11/20 20:54:19,1.0,1.0
2024/11/20 20:54:19,1.0,1.0
2024/11/20 20:54:20,1.0,1.0
2024/11/20 20:54:20,1.0,84.0
2024/11/20 20:54:20,1.0,1.0
2024/11/20 20:54:20,354.0,1.0
2024/11/20 20:54:20,127.0,1.0
2024/11/20 20:54:20,129.0,5.0
2024/11/20 20:54:20,147.0,474.0
2024/11/20 20:54:20,108.0,1.0
2024/11/20 20:54:20,166.0,469.0
2024/11/20 20:54:21,123.0,683.0
2024/11/20 20:54:21,1.0,356.0
2024/11/20 20:54:21,86.0,1.0
2024/11/20 20:54:21,159.0,382.0
2024/11/20 20:54:21,190.0,139.0
2024/11/20 20:54:21,116.0,488.0
2024/11/20 20:54:21,90.0,519.0
2024/11/20 20:54:21,38.0,330.0
2024/11/20 20:54:21,193.0,169.0
2024/11/20 20:54:22,94.0,290.0
2024/11/20 20:54:22,92.0,319.0
2024/11/20 20:54:22,234.0,526.0
2024/11/20 20:54:22,130.0,428.0
2024/11/20 20:54:22,100.0,411.0
2024/11/20 20:54:22,134.0,222.0
2024/11/20 20:54:22,205.0,349.0
2024/11/20 20:54:22,198.0,501.0
2024/11/20 20:54:22,118.0,595.0
2024/11/20 20:54:22,126.0,489.0
2024/11/20 20:54:23,135.0,365.0
2024/11/20 20:54:23,98.0,535.0
2024/11/20 20:54:23,78.0,216.0
2024/11/20 20:54:23,143.0,509.0
2024/11/20 20:54:23,153.0,605.0
2024/11/20 20:54:23,131.0,425.0
2024/11/20 20:54:23,1.0,88.0
2024/11/20 20:54:23,1.0,2.0
2024/11/20 20:54:23,1.0,1.0
2024/11/20 20:54:24,1.0,1.0
2024/11/20 20:54:24,1.0,1.0
2024/11/20 20:54:24,1.0,2.0
2024/11/20 20:54:24,1.0,1.0
2024/11/20 20:54:24,39.0,2.0
2024/11/20 20:54:24,58.0,1.0
2024/11/20 20:54:24,1.0,1.0
2024/11/20 20:54:24,1.0,1.0
2024/11/20 20:54:24,1.0,50.0
2024/11/20 20:54:24,168.0,5.0
2024/11/20 20:54:25,105.0,1.0
2024/11/20 20:54:25,123.0,686.0
2024/11/20 20:54:25,1.0,1.0
2024/11/20 20:54:25,64.0,1.0
2024/11/20 20:54:25,1.0,84.0
2024/11/20 20:54:25,105.0,523.0
2024/11/20 20:54:25,56.0,1.0
2024/11/20 20:54:25,112.0,1.0
2024/11/20 20:54:25,145.0,406.0
2024/11/20 20:54:25,170.0,396.0
2024/11/20 20:54:26,129.0,207.0
2024/11/20 20:54:26,122.0,173.0
2024/11/20 20:54:26,202.0,551.0
2024/11/20 20:54:26,106.0,501.0
2024/11/20 20:54:26,156.0,414.0
2024/11/20 20:54:26,195.0,424.0
2024/11/20 20:54:26,128.0,400.0
2024/11/20 20:54:26,209.0,515.0
