Time,Left,Right
2024/11/20 20:53:39,140.0,1.0
2024/11/20 20:53:39,247.0,496.0
2024/11/20 20:53:39,133.0,376.0
2024/11/20 20:53:39,130.0,180.0
2024/11/20 20:53:40,96.0,131.0
2024/11/20 20:53:40,95.0,186.0
2024/11/20 20:53:40,118.0,26.0
2024/11/20 20:53:40,199.0,52.0
2024/11/20 20:53:40,123.0,44.0
2024/11/20 20:53:40,105.0,1.0
2024/11/20 20:53:41,14.0,1.0
2024/11/20 20:53:41,145.0,1.0
2024/11/20 20:53:41,120.0,1.0
2024/11/20 20:53:42,95.0,1.0
2024/11/20 20:53:42,139.0,1.0
2024/11/20 20:53:42,153.0,1.0
2024/11/20 20:53:42,122.0,1.0
2024/11/20 20:53:42,167.0,1.0
2024/11/20 20:53:42,114.0,1.0
2024/11/20 20:53:42,141.0,1.0
2024/11/20 20:53:42,154.0,1.0
2024/11/20 20:53:42,80.0,1.0
2024/11/20 20:53:42,110.0,1.0
2024/11/20 20:53:42,248.0,1.0
2024/11/20 20:53:42,109.0,1.0
2024/11/20 20:53:42,91.0,1.0
2024/11/20 20:53:42,108.0,1.0
2024/11/20 20:53:42,135.0,365.0
2024/11/20 20:53:42,163.0,343.0
2024/11/20 20:53:42,115.0,1.0
2024/11/20 20:53:42,116.0,1.0
2024/11/20 20:53:42,134.0,294.0
2024/11/20 20:53:42,133.0,239.0
2024/11/20 20:53:42,112.0,95.0
2024/11/20 20:53:42,99.0,330.0
2024/11/20 20:53:42,109.0,1.0
2024/11/20 20:53:42,155.0,1.0
2024/11/20 20:53:42,155.0,1.0
2024/11/20 20:53:42,175.0,1.0
2024/11/20 20:53:43,94.0,1.0
2024/11/20 20:53:43,145.0,1.0
2024/11/20 20:53:43,135.0,1.0
2024/11/20 20:53:43,149.0,1.0
2024/11/20 20:53:43,1.0,1.0
2024/11/20 20:53:43,110.0,1.0
2024/11/20 20:53:43,1.0,85.0
2024/11/20 20:53:43,4.0,1.0
2024/11/20 20:53:43,1.0,1.0
2024/11/20 20:53:43,1.0,43.0
2024/11/20 20:53:43,130.0,1.0
2024/11/20 20:53:43,1.0,1.0
2024/11/20 20:53:43,381.0,1.0
2024/11/20 20:53:43,1.0,121.0
2024/11/20 20:53:43,1.0,1.0
2024/11/20 20:53:43,1.0,1.0
2024/11/20 20:53:43,3.0,1.0
2024/11/20 20:53:43,233.0,1.0
2024/11/20 20:53:44,137.0,1.0
2024/11/20 20:53:44,1.0,1.0
2024/11/20 20:53:44,1.0,1.0
2024/11/20 20:53:44,1.0,1.0
2024/11/20 20:53:44,93.0,1.0
2024/11/20 20:53:44,110.0,1.0
2024/11/20 20:53:44,50.0,1.0
2024/11/20 20:53:44,115.0,1.0
2024/11/20 20:53:44,1.0,69.0
2024/11/20 20:53:44,1.0,1.0
2024/11/20 20:53:45,1.0,1.0
2024/11/20 20:53:45,113.0,1.0
2024/11/20 20:53:45,93.0,1.0
2024/11/20 20:53:45,144.0,1.0
2024/11/20 20:53:45,1.0,1.0
2024/11/20 20:53:45,1.0,1.0
2024/11/20 20:53:45,1.0,1.0
2024/11/20 20:53:45,88.0,1.0
2024/11/20 20:53:45,344.0,1.0
2024/11/20 20:53:45,122.0,1.0
2024/11/20 20:53:46,117.0,378.0
2024/11/20 20:53:46,1.0,1.0
2024/11/20 20:53:46,1.0,1.0
2024/11/20 20:53:46,138.0,1.0
2024/11/20 20:53:46,116.0,1.0
2024/11/20 20:53:46,1.0,1.0
2024/11/20 20:53:46,120.0,370.0
2024/11/20 20:53:46,1.0,1.0
2024/11/20 20:53:46,1.0,1.0
2024/11/20 20:53:47,132.0,1.0
2024/11/20 20:53:47,139.0,1.0
2024/11/20 20:53:47,110.0,1.0
2024/11/20 20:53:47,116.0,1.0
2024/11/20 20:53:47,1.0,110.0
2024/11/20 20:53:47,1.0,83.0
2024/11/20 20:53:47,148.0,98.0
2024/11/20 20:53:47,148.0,1.0
2024/11/20 20:53:47,168.0,1.0
2024/11/20 20:53:47,117.0,1.0
2024/11/20 20:53:48,104.0,1.0
2024/11/20 20:53:48,49.0,1.0
2024/11/20 20:53:48,48.0,1.0
2024/11/20 20:53:48,1.0,1.0
2024/11/20 20:53:48,1.0,269.0
2024/11/20 20:53:48,3.0,1.0
2024/11/20 20:53:48,151.0,1.0
